t,hour,previous_day_nominal_ship_count,current_day_nominal_ship_count,next_day_nominal_ship_count,current_day_pointwise_lower_ship_count,current_day_pointwise_upper_ship_count
0,0.00,0,0,0,0,0
1,0.25,1,0,0,0,0
2,0.50,0,0,0,0,0
3,0.75,0,0,0,0,0
4,1.00,0,0,0,0,0
5,1.25,0,0,0,0,0
6,1.50,0,0,0,0,0
7,1.75,1,0,0,0,0
8,2.00,0,0,0,0,0
9,2.25,0,0,0,0,0
10,2.50,0,0,0,0,0
11,2.75,1,0,0,0,0
12,3.00,0,0,0,0,0
13,3.25,0,0,0,0,0
14,3.50,0,0,0,0,0
15,3.75,0,0,0,0,0
16,4.00,0,0,0,0,0
17,4.25,0,0,0,0,0
18,4.50,0,0,0,0,0
19,4.75,0,0,0,0,0
20,5.00,0,1,0,0,1
21,5.25,0,0,0,0,1
22,5.50,0,0,0,0,1
23,5.75,0,0,1,0,1
24,6.00,0,0,0,0,1
25,6.25,0,0,0,0,0
26,6.50,0,0,0,0,0
27,6.75,0,0,0,0,0
28,7.00,0,0,0,0,0
29,7.25,0,0,0,0,0
30,7.50,0,0,0,0,0
31,7.75,0,0,0,0,0
32,8.00,0,0,0,0,0
33,8.25,0,0,0,0,0
34,8.50,1,1,1,0,1
35,8.75,0,0,0,0,1
36,9.00,0,0,0,0,1
37,9.25,0,0,0,0,1
38,9.50,0,1,0,0,2
39,9.75,0,0,0,0,1
40,10.00,0,0,0,0,1
41,10.25,0,0,0,0,1
42,10.50,0,0,0,0,1
43,10.75,0,0,0,0,0
44,11.00,0,0,0,0,0
45,11.25,0,0,1,0,0
46,11.50,0,0,0,0,0
47,11.75,0,0,0,0,0
48,12.00,0,1,0,0,1
49,12.25,0,0,0,0,1
50,12.50,0,0,0,0,1
51,12.75,1,1,0,0,2
52,13.00,0,2,1,0,4
53,13.25,0,0,0,0,2
54,13.50,0,1,0,0,3
55,13.75,1,1,0,0,3
56,14.00,0,0,0,0,2
57,14.25,0,0,0,0,2
58,14.50,0,1,0,0,3
59,14.75,0,0,0,0,2
60,15.00,0,0,0,0,1
61,15.25,0,0,0,0,1
62,15.50,1,1,0,0,2
63,15.75,0,0,0,0,1
64,16.00,0,0,0,0,1
65,16.25,0,0,0,0,1
66,16.50,0,0,1,0,1
67,16.75,0,0,0,0,0
68,17.00,0,1,0,0,1
69,17.25,0,0,0,0,1
70,17.50,0,0,0,0,1
71,17.75,1,1,3,0,2
72,18.00,0,0,0,0,2
73,18.25,0,0,0,0,1
74,18.50,1,0,0,0,1
75,18.75,0,0,0,0,1
76,19.00,1,0,0,0,0
77,19.25,0,0,0,0,0
78,19.50,0,0,0,0,0
79,19.75,1,0,0,0,0
80,20.00,0,0,0,0,0
81,20.25,0,0,0,0,0
82,20.50,2,0,0,0,0
83,20.75,0,0,0,0,0
84,21.00,0,0,0,0,0
85,21.25,0,0,0,0,0
86,21.50,0,0,0,0,0
87,21.75,0,0,0,0,0
88,22.00,0,0,0,0,0
89,22.25,1,0,1,0,0
90,22.50,0,2,0,0,2
91,22.75,0,0,0,0,2
92,23.00,0,0,0,0,2
93,23.25,0,0,0,0,2
94,23.50,1,0,0,0,2
95,23.75,0,0,0,0,0
