period,time_hour,wind_nominal_mw,wind_lower_mw,wind_upper_mw,wind_worst_mw,wind_fixed_hydrogen_mw,wind_nominal_electric_mw,wind_worst_electric_mw,arrival_nominal_count,arrival_worst_count,in_port_nominal_count,in_port_worst_count,active_quay_cranes_nominal,active_quay_cranes_worst,task_release_nominal_teu,task_release_worst_teu,task_release_rate_teu_per_h,task_done_rate_teu_per_h,base_load_mw,shore_power_nominal_mw,shore_power_worst_mw,quay_crane_power_nominal_mw,quay_crane_power_worst_mw,grid_buy_da_mw,grid_sell_da_mw,grid_buy_rt_mw,grid_sell_rt_mw,agv_charge_count_da,agv_charge_count,agv_charge_power_da_mw,agv_charge_power_rt_mw,agv_container_count,agv_lohc_count,agv_idle_count,lohc_power_da_mw,lohc_power_rt_mw,spill_da_mw,spill_rt_mw,h2_landing_rate_kg_per_h,h2_consumption_rate_kg_per_h,lohc_production_rate_kg_per_h,lohc_outbound_rate_kg_per_h,da_power_balance_residual_mw,rt_power_balance_residual_mw
0,0.0,11.861861861861865,9.489489489489491,14.234234234234236,11.861861861861865,4.744744744744746,7.117117117117119,7.117117117117119,0.0,0.0,8.0,8.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,24.0,24.0,8.0,8.0,27.70955994613491,0.0,27.709559946134917,0.0,0.0,0.0,0.0,0.0,34.5679012345679,0.0,25.4320987654321,0.3266770632520295,0.3266770632520295,0.0,0.0,265.53637899450115,133.33757683756306,130.6708253008118,0.0,-1.7763568394002505e-15,5.329070518200751e-15
1,0.25,20.57057057057057,16.456456456456458,24.684684684684683,20.57057057057057,8.228228228228229,12.342342342342342,12.342342342342342,0.0,0.0,8.0,8.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,24.0,24.0,8.0,8.0,22.48433472090969,0.0,22.48433472090969,0.0,0.0,0.0,0.0,0.0,34.5679012345679,0.0,25.4320987654321,0.3266770632520295,0.3266770632520295,0.0,0.0,81.14324864864867,133.33757683756306,130.6708253008118,0.0,5.329070518200751e-15,5.329070518200751e-15
2,0.5,28.37837837837838,22.7027027027027,34.054054054054056,22.7027027027027,11.351351351351353,17.027027027027025,11.351351351351349,0.0,0.0,8.0,8.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,24.0,24.0,8.0,8.0,17.799650036225003,0.0,23.47532571190068,0.0,0.0,0.0,0.0,0.0,34.5679012345679,0.0,25.4320987654321,0.3266770632520295,0.3266770632520295,0.0,0.0,140.71677297297296,133.33757683756306,130.6708253008118,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15
3,0.75,31.68168168168168,25.345345345345347,38.01801801801802,25.345345345345347,12.672672672672673,19.009009009009006,12.672672672672673,0.0,0.0,8.0,8.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,24.0,24.0,8.0,8.0,15.81766805424302,0.0,22.15400439057936,0.0,0.0,0.0,0.0,0.0,34.5679012345679,0.0,25.4320987654321,0.3266770632520295,0.3266770632520295,0.0,0.0,194.12751891891895,133.33757683756306,130.6708253008118,0.0,-1.7763568394002505e-15,5.329070518200751e-15
4,1.0,19.81981981981982,15.855855855855854,23.783783783783782,15.855855855855854,7.927927927927928,11.891891891891891,7.927927927927926,0.0,0.0,8.0,8.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,24.0,24.0,8.0,8.0,22.93478517136014,0.0,26.8987491353241,0.0,0.0,0.0,0.0,0.0,34.5679012345679,0.0,25.4320987654321,0.3266770632520295,0.3266770632520295,0.0,0.0,216.724372972973,133.33757683756306,130.6708253008118,0.0,5.329070518200751e-15,-1.7763568394002505e-15
5,1.25,22.372372372372375,17.8978978978979,26.846846846846848,17.8978978978979,8.94894894894895,13.423423423423426,8.94894894894895,0.0,0.0,8.0,8.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,24.0,24.0,8.0,8.0,21.40325363982861,0.0,25.87772811430308,0.0,0.0,0.0,0.0,0.0,34.5679012345679,0.0,25.4320987654321,0.3266770632520295,0.3266770632520295,0.0,0.0,135.58112432432432,133.33757683756306,130.6708253008118,0.0,5.329070518200751e-15,-1.7763568394002505e-15
6,1.5,25.675675675675677,20.54054054054054,30.810810810810814,20.54054054054054,10.270270270270272,15.405405405405405,10.270270270270268,0.0,0.0,8.0,8.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,24.0,24.0,8.0,8.0,19.421271657846624,0.0,24.55640679298176,0.0,0.0,0.0,0.0,0.0,34.5679012345679,0.0,25.4320987654321,0.3266770632520295,0.3266770632520295,0.0,0.0,153.04232972972974,133.33757683756306,130.6708253008118,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15
7,1.75,29.12912912912913,23.303303303303306,34.95495495495496,23.303303303303302,11.651651651651653,17.47747747747748,11.65165165165165,0.0,0.0,7.0,7.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,21.0,21.0,8.0,8.0,14.349199585774551,0.0,20.175025411600377,0.0,0.0,0.0,0.0,0.0,34.5679012345679,0.0,25.4320987654321,0.3266770632520295,0.3266770632520295,0.0,0.0,175.6391837837838,133.33757683756306,130.6708253008118,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15
8,2.0,28.37837837837838,22.7027027027027,34.054054054054056,22.7027027027027,11.351351351351353,17.027027027027025,11.351351351351349,0.0,0.0,7.0,7.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,21.0,21.0,8.0,8.0,15.399650036225,0.0,21.07532571190068,0.0,4.0,4.0,0.6,0.6,34.5679012345679,0.0,21.4320987654321,0.3266770632520295,0.3266770632520295,0.0,0.0,199.2631675675676,133.33757683756306,130.6708253008118,0.0,-7.438494264988549e-15,-3.3306690738754696e-16
9,2.25,41.44144144144145,33.15315315315316,49.72972972972973,33.15315315315316,16.576576576576578,24.86486486486487,16.576576576576585,0.0,0.0,7.0,7.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,21.0,21.0,8.0,8.0,7.535135135135134,0.0,15.823423423423414,0.0,3.8221529116531614,3.8221529116531614,0.5733229367479742,0.5733229367479742,34.5679012345679,21.60994585377893,8.437694987151191e-15,0.3266770632520295,0.3266770632520295,0.0,0.0,194.12751891891895,133.33757683756306,130.6708253008118,551.0536192713628,1.9984014443252818e-15,-5.10702591327572e-15
10,2.5,50.00000000000001,40.00000000000001,60.00000000000001,40.00000000000001,20.000000000000004,30.000000000000004,20.000000000000004,0.0,0.0,6.0,6.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,18.0,18.0,8.0,8.0,0.0,0.0,9.999999999999991,0.0,7.822152911653161,7.822152911653161,1.173322936747974,1.173322936747974,34.5679012345679,0.0,17.60994585377894,0.3266770632520295,0.3266770632520295,0.0,0.0,283.4878054054054,133.33757683756306,130.6708253008118,0.0,0.0,-1.0658141036401503e-14
11,2.75,47.8978978978979,38.31831831831832,57.47747747747748,38.31831831831832,19.15915915915916,28.73873873873874,19.15915915915916,0.0,0.0,6.0,6.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,18.0,18.0,8.0,8.0,0.6612612612612645,0.0,10.24084084084084,0.0,3.8221529116531614,3.8221529116531614,0.5733229367479742,0.5733229367479742,34.5679012345679,21.60994585377893,8.437694987151191e-15,0.3266770632520295,0.3266770632520295,0.0,0.0,342.03420000000006,133.33757683756306,130.6708253008118,551.0536192713628,-1.5543122344752192e-15,-5.10702591327572e-15
12,3.0,32.58258258258258,26.066066066066064,39.0990990990991,26.066066066066064,13.033033033033032,19.54954954954955,13.033033033033032,0.0,0.0,5.0,5.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,15.0,15.0,8.0,8.0,6.27712751370248,0.0,12.793644030219,0.0,0.0,0.0,0.0,0.0,34.5679012345679,25.43209876543209,7.105427357601002e-15,0.3266770632520295,0.3266770632520295,0.0,0.0,327.65438378378377,133.33757683756306,130.6708253008118,648.5185185185184,-1.7763568394002505e-15,1.7763568394002505e-15
13,3.25,24.324324324324323,19.45945945945946,29.189189189189186,19.45945945945946,9.72972972972973,14.594594594594593,9.72972972972973,0.0,0.0,5.0,5.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,15.0,15.0,8.0,8.0,11.232082468657437,0.0,16.096947333522294,0.0,0.0,0.0,0.0,0.0,34.5679012345679,0.0,25.4320987654321,0.3266770632520295,0.3266770632520295,0.0,0.0,222.88715135135132,133.33757683756306,130.6708253008118,0.0,-1.7763568394002505e-15,-5.329070518200751e-15
