policy_case,scenario_case,scenario_sha256,series,period,time_hour,value
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,0,0.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,1,0.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,2,0.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,3,0.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,4,1.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,5,1.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,6,1.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,7,1.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,8,2.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,9,2.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,10,2.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,11,2.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,12,3.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,13,3.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,14,3.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,15,3.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,16,4.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,17,4.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,18,4.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,19,4.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,20,5.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,21,5.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,22,5.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,23,5.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,24,6.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,25,6.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,26,6.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,27,6.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,28,7.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,29,7.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,30,7.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,31,7.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,32,8.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,33,8.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,34,8.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,35,8.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,36,9.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,37,9.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,38,9.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,39,9.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,40,10.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,41,10.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,42,10.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,43,10.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,44,11.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,45,11.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,46,11.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,47,11.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,48,12.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,49,12.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,50,12.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,51,12.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,52,13.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,53,13.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,54,13.5,0.0
